the_geom,OBJECTID,NYSStreetID,LeftFromAddress,LeftToAddress,RightFromAddress,RightToAddress,CompleteStreetName,HighwayNumber,Jurisdiction,FCC,ACC,SPEED,LeftPostal,RightPostal,Shape.STLength()
"MULTILINESTRING ((-78.813216149195 42.854606504669, -78.812737177748 42.854942474322, -78.812599108895 42.855029463565, -78.812502142256 42.855078436503, -78.811092124789 42.855945424666, -78.810705133678 42.856201427128))",449,477800011,2,64,1,63,Geary Street,,12,A41,5,25,14210,14210,271.49897468603399
"MULTILINESTRING ((-78.82576619438 42.867271459365, -78.825440096502 42.867146504295))",11064,477798322,1460,1460,1451,1459,Seneca Street,16,01,A21,4,35,14210,14210,30.070387426769003
"MULTILINESTRING ((-78.889643111105 42.890267450396, -78.890423177176 42.891054480922))",9197,477792342,,,,,Interstate 190 Northbound,190,06,A15,1,65,14201,14201,108.27855374011324
"MULTILINESTRING ((-78.818044074826 42.840417432964, -78.817100141732 42.840401500835))",259,477801702,152,176,,,Harding Road,,12,A45,5,25,14220,14220,77.249969579263961
"MULTILINESTRING ((-78.884688457007 42.929016419845, -78.884726278696 42.928901921991, -78.884778505409 42.928766145013, -78.884850592651 42.928623741558, -78.884916829655 42.928517263549))",3128,477781535,,,,,Parking Lot,,10,A75,6,15,14213,14213,58.69779469221637
"MULTILINESTRING ((-78.84401714804 42.88964550321, -78.84400917609 42.891403484685, -78.84402017555 42.891511429999, -78.844070202839 42.891640482286, -78.844126177619 42.891721434571, -78.844301172883 42.891918494461))",6788,477792472,1026,1198,1033,1199,Smith Street,,12,A31,4,35,14212,14212,258.67275580441134
"MULTILINESTRING ((-78.878713188033 42.909897434815, -78.878699134742 42.91129447755))",8402,477786805,186,236,187,237,Ashland Avenue,,12,A40,5,25,14222,14222,155.33244413134051
"MULTILINESTRING ((-78.829324105887 42.894802488649, -78.829303138063 42.894851451198, -78.829281192575 42.894900446493))",6450,477790994,,,,,Memorial Drive,,12,A31,4,35,14212,14212,11.442203366543875
"MULTILINESTRING ((-78.88122716197 42.932677452557, -78.881294149156 42.932690484179, -78.88134112637 42.932718511117, -78.881363195535 42.932765481272, -78.881353162994 42.932851447058, -78.881306175902 42.932889507558, -78.881228204854 42.932902509437, -78.881167171707 42.932896478558, -78.881119156131 42.932869477213, -78.881086106382 42.932813516017, -78.88108913046 42.932754439152, -78.881125200624 42.93270450441, -78.881191140692 42.932677505219, -78.88122716197 42.932677452557))",3152,477780064,,,,,Cleveland Circle,,12,A61,5,15,14222,14222,76.690392677518346
"MULTILINESTRING ((-78.847913102078 42.889634450544, -78.847907206361 42.890326497476, -78.8479181937 42.891126471298))",6777,477792479,236,298,237,299,Krettner Street,,12,A40,5,25,14212,14212,165.89054840070929
