the_geom,OBJECTID,NYSStreetID,LeftFromAddress,LeftToAddress,RightFromAddress,RightToAddress,CompleteStreetName,HighwayNumber,Jurisdiction,FCC,ACC,SPEED,LeftPostal,RightPostal,Shape.STLength()
"MULTILINESTRING ((-78.829172121971 42.929902483231, -78.826749132363 42.929894488801))",4229,477781116,,,,,State Route 33,33,01,A15,2,65,14215,14215,197.95770785698809
"MULTILINESTRING ((-78.878630808405 42.877309708493, -78.878608267242 42.877359426628, -78.878524107963 42.877453210795, -78.878491612031 42.877517150421))",9994,600061551,,,,,Lloyd Street,,12,A45,5,25,14202,14202,25.909838302488097
"MULTILINESTRING ((-78.90758111874 42.945663448016, -78.907636205228 42.945985516375, -78.907891209814 42.946913448429, -78.908138163406 42.947733521147))",2791,477776685,2264,2300,2267,2339,Niagara Street,266,01,A31,4,35,14207,14207,234.731137490104
"MULTILINESTRING ((-78.835336103882 42.893844446015, -78.83452118052 42.894016474535))",6476,477791263,1066,1088,1065,1087,Broadway,954L,01,A31,3,35,14212,14212,69.308738987226803
"MULTILINESTRING ((-78.836259125563 42.866731479625, -78.835230191325 42.866551441957))",11173,477798439,484,506,479,505,Elk Street,,12,A31,4,35,14210,14210,86.497349092370584
"MULTILINESTRING ((-78.854084098846 42.930050505553, -78.854088146697 42.930262496586, -78.854109122434 42.930386490773, -78.854194205905 42.930534434104, -78.854285169902 42.930625455679, -78.854309145586 42.930642474578))",4431,477781013,,,1,99,Agassiz Circle,,12,A40,4,25,14214,14214,70.60026351333515
"MULTILINESTRING ((-78.865131176116 42.866765427122, -78.864689205416 42.868123460081))",9681,477798378,108,172,109,167,Kentucky Street,,12,A41,5,25,14204,14204,155.25504983726282
"MULTILINESTRING ((-78.83928514916 42.929870463107, -78.837175199474 42.929840470765))",4278,477781150,2,98,1,99,Van Gorder Street,,12,A41,5,25,14214,14214,172.41415980127658
"MULTILINESTRING ((-78.803971626753 42.956464485086, -78.80396684536 42.956464362375, -78.803962157915 42.956463411248, -78.803957706844 42.956461660605, -78.803953627392 42.956459163638, -78.803950043509 42.956455996216, -78.80394706409 42.956452254579, -78.803944779664 42.956448052416, -78.803943259642 42.956443517406, -78.803942550208 42.956438787344, -78.803942672918 42.956434005951, -78.803943624045 42.956429318506, -78.803945374688 42.956424867436, -78.803947871656 42.956420787983, -78.803951039078 42.9564172041, -78.803954780714 42.956414224681, -78.803958982878 42.956411940255, -78.803963517887 42.956410420233, -78.803968247949 42.956409710799, -78.803973029342 42.95640983351, -78.803977716787 42.956410784636, -78.803982167858 42.95641253528, -78.80398624731 42.956415032247, -78.803989831193 42.956418199669, -78.803992810612 42.956421941306, -78.803995095038 42.956426143469, -78.803996615061 42.956430678479, -78.803997324494 42.95643540854, -78.803997201784 42.956440189934, -78.803996250657 42.956444877378, -78.803994500014 42.956449328449, -78.803992003047 42.956453407902, -78.803988835624 42.956456991785, -78.803985093988 42.956459971203, -78.803980891824 42.956462255629, -78.803976356815 42.956463775652, -78.803971626753 42.956464485086))",11827,,,,,,,,,,,,,,19.151148818904929
"MULTILINESTRING ((-78.883197124781 42.883413453411, -78.882438103715 42.882648436524, -78.882107099151 42.882331491759))",7651,510092253,,,,,Ramp,5,06,A63,2,45,14202,14202,149.72395070298978
"MULTILINESTRING ((-78.877534189718 42.933405499547, -78.877963113943 42.933402472682))",4892,477779715,,,,,Iroquois,,12,A41,5,25,14222,14213,35.043384539766876
"MULTILINESTRING ((-78.832236161067 42.853470471719, -78.8322351731 42.853628431456))",11262,477800194,586,586,587,591,Hopkins Street,,12,A41,5,25,14220,14220,17.56206138246063
"MULTILINESTRING ((-78.813870100035 42.901313467146, -78.813172173041 42.901381498449, -78.812746183591 42.90143451344))",1126,477789116,44,54,43,53,West Shore Avenue,,12,A41,5,25,14211,14211,92.859024168126496
"MULTILINESTRING ((-78.882778132745 42.91220951866, -78.8828001186 42.912927447797, -78.88284111716 42.913018433171))",8386,477786313,2,98,1,99,Landis Place,,12,A41,5,25,14222,14222,90.498920118808911
"MULTILINESTRING ((-78.889414169182 42.937442481768, -78.889820140689 42.937298473215))",3048,477778631,2,98,1,99,Piper Street,,12,A41,5,25,14207,14207,36.827550828131471
"MULTILINESTRING ((-78.807436096834 42.899904470178, -78.809186121316 42.899643495288))",1166,477789582,,,,,Unnamed Street,,12,A41,5,25,14212,14212,145.95624070252276
"MULTILINESTRING ((-78.880343168151 42.915487440095, -78.878663149233 42.915476481469))",8463,477785320,548,598,553,597,West Ferry Street,,12,A31,4,35,14222,14222,137.29774433690568
"MULTILINESTRING ((-78.878529127236 42.877643505642, -78.878689193567 42.878167494749))",9974,477795565,,,,,State Route 5,5,01,A15,2,65,14202,14202,59.710904364097395
"MULTILINESTRING ((-78.827158182343 42.83542343269, -78.825398111624 42.835372488696, -78.823846095307 42.83535048462))",11768,477802464,2,98,1,99,Dallas Road,,12,A41,5,25,14220,14220,271.14289300754444
"MULTILINESTRING ((-78.863903110036 42.861364435515, -78.863458098532 42.861460509191))",9649,477799196,,,,,Childs Street,,12,A41,5,25,14203,14203,37.933131956091948
"MULTILINESTRING ((-78.850934158938 42.890462447997, -78.849967101033 42.890675456334))",6762,477792296,630,654,625,649,Broadway,954L,01,A31,3,35,14212,14212,82.530026051192067
"MULTILINESTRING ((-78.8353501439 42.869070457995, -78.835678176731 42.869127431082))",11184,477797748,,,,,Interstate 190 Northbound,190,06,A15,1,65,14210,14210,27.564154258704932
"MULTILINESTRING ((-78.825571185852 42.859745500361, -78.825470112453 42.859872504569))",11153,477799392,192,198,193,199,Heussy Avenue,,12,A40,5,25,14220,14220,16.362240066233099
"MULTILINESTRING ((-78.842783093838 42.872306483206, -78.842686109338 42.87260344629))",10696,477796923,2,6,1,9,Daytona Place,,12,A41,5,25,14210,14210,33.955696134938201
"MULTILINESTRING ((-78.874608154167 42.888698455094, -78.874440118132 42.888668495685, -78.874144214619 42.888616488645))",7797,515878128,,,,,Fountain Plaza,,12,A41,5,25,14202,14202,39.009321190219424
"MULTILINESTRING ((-78.85397118322 42.896175439368, -78.851935186399 42.897032430902))",6845,477790460,606,658,605,663,Genesee Street,,12,A31,4,35,14211,14211,191.77574924876882
"MULTILINESTRING ((-78.895524618203 42.899633264933, -78.895838575716 42.899958619563, -78.895901041734 42.900024387558, -78.895962395541 42.900072321063, -78.896032541196 42.900105665994, -78.896115667086 42.900113547155, -78.896227440706 42.900113311855, -78.896462113144 42.900116612408, -78.896627843246 42.900142548008, -78.89676125927 42.900177301132, -78.896881482837 42.900233950673, -78.89739215146 42.900595479359))",9038,477789681,,,,,Front Park,,12,A41,5,25,,,197.63527246203697
"MULTILINESTRING ((-78.854948208592 42.912376502633, -78.853987122203 42.912368483501))",5401,477786258,280,308,279,301,Glenwood Avenue,,12,A40,5,25,14208,14208,78.548434102726205
"MULTILINESTRING ((-78.836726147002 42.914603487703, -78.835418171444 42.914586516159))",5925,477785616,746,798,663,755,East Ferry Street,,12,A31,4,35,14211,14211,106.90394613856705
"MULTILINESTRING ((-78.810068167563 42.940373478357, -78.809551167749 42.940570514728, -78.808875193657 42.940856490959, -78.808156079881 42.941148492349))",1825,477777953,104,160,105,161,Westminster Avenue,,12,A41,5,25,14215,14215,178.4040259039478
"MULTILINESTRING ((-78.80048115273 42.847452475259, -78.800271075326 42.847273439094))",107,477800860,2458,2462,2459,2465,Seneca Street,16,01,A31,4,35,14210,14210,26.29730974846597
"MULTILINESTRING ((-78.83015211348 42.923927454602, -78.829900519568 42.923923180295))",5880,800004955,,,,,Unnamed Street,,12,A41,5,25,14215,14215,20.562468650356145
"MULTILINESTRING ((-78.841652087956 42.946279445306, -78.844057131266 42.946321486886))",3933,477776559,256,308,251,313,Huntington Avenue,,12,A40,5,25,14214,14214,196.49468924125523
"MULTILINESTRING ((-78.874661155657 42.917501456864, -78.874672152787 42.916868483415))",8430,477827865,2,48,1,17,Saint Catherines Court,,12,A41,5,25,14222,14222,70.381866982687427
"MULTILINESTRING ((-78.888649201547 42.898417487718, -78.888078148583 42.898705493529))",9090,477789889,186,198,187,199,Pennsylvania Street,,12,A40,4,25,14201,14201,56.607428841125618
"MULTILINESTRING ((-78.87310409785 42.882338492527, -78.872508141216 42.882243434571, -78.871750136358 42.882094437301))",7439,477794311,50,98,51,97,South Division Street,,12,A20,2,35,14203,14203,114.01455294671635
"MULTILINESTRING ((-78.876683099792 42.87932850699, -78.877332216729 42.879541489936, -78.87738919936 42.879536495931))",10091,513312389,,,21,33,Upper Terrace Street,,12,A45,4,25,14202,14202,62.812338475626078
"MULTILINESTRING ((-78.825558120632 42.946977513942, -78.825368181923 42.946942453703, -78.82425218943 42.946844471463, -78.823620166758 42.946791514921))",2159,477776460,,,107,159,Minnesota Avenue,,12,A45,5,25,14214,14214,159.75044198321362
"MULTILINESTRING ((-78.879273121594 42.922198476788, -78.878486143775 42.922731460924))",5006,477827410,66,102,,,Bidwell Parkway,,12,A35,4,35,14222,14222,87.445947876743404
"MULTILINESTRING ((-78.803035092444 42.871795444142, -78.802063137672 42.871781492682))",861,477797092,1986,2010,1987,2013,Clinton Street,354,01,A31,3,35,14206,14206,79.496342683106519
"MULTILINESTRING ((-78.844102140113 42.918294452806, -78.843711105646 42.91829247608))",5491,477784702,,,,,Walkway,,12,A71,5,5,14208,14208,31.954193777918707
"MULTILINESTRING ((-78.859041116854 42.868604449592, -78.859000137737 42.868730444983, -78.858953123241 42.868875461952))",10519,477797892,172,184,163,183,Hamburg Street,,12,A31,4,35,14210,14210,30.978991688878992
"MULTILINESTRING ((-78.816558173275 42.838778466893, -78.815074156288 42.838755424463))",233,477802027,196,298,,,Ridgewood Road,,12,A45,5,25,14220,14220,121.44775008210654
"MULTILINESTRING ((-78.832315096944 42.847031458574, -78.832302189629 42.847874467161))",11405,477800883,350,374,351,375,Hopkins Street,,12,A41,5,25,14220,14220,93.731098361287749
"MULTILINESTRING ((-78.827945186198 42.846990484933, -78.82795016711 42.847963449617, -78.827940110476 42.848485466867))",11410,477800893,2,52,1,53,Folger Street,,12,A41,5,25,14220,14220,166.21727488281851
"MULTILINESTRING ((-78.819214084565 42.853322509006, -78.818509119046 42.852801506211))",380,477800281,314,338,311,331,Abbott Road,,12,A31,4,35,14220,14220,81.73512586368345
"MULTILINESTRING ((-78.80130709981 42.929900466078, -78.800816193679 42.929899502766, -78.799814159771 42.929901483351))",1789,477781106,402,448,403,449,Langfield Drive,,12,A41,4,25,14215,14215,121.96998461521466
"MULTILINESTRING ((-78.855241154827 42.903862507174, -78.853980179958 42.903839480454))",6910,477788242,352,384,353,385,Best Street,,12,A31,4,35,14208,14204,103.09735205127012
"MULTILINESTRING ((-78.888491146291 42.893864462349, -78.887372123783 42.894432481379))",9125,477791255,100,128,101,129,Maryland Street,,12,A41,5,25,14201,14201,111.16199710344492
"MULTILINESTRING ((-78.822133119926 42.956079516835, -78.822068147754 42.956253480361, -78.821944090535 42.956421496276, -78.821820190311 42.956550520718))",2443,477774289,,,43,99,Pelham Drive,,12,A45,5,25,14214,14214,58.860654789659321
"MULTILINESTRING ((-78.872649176937 42.958683476581, -78.872647151156 42.958034470196))",3529,477773762,2,98,1,99,Genoa Place,,12,A41,5,25,14216,14216,72.159224635376461
"MULTILINESTRING ((-78.840505142596 42.885028465952, -78.840126130223 42.885023460829))",6657,477793458,834,842,835,843,William Street,,12,A31,4,35,14206,14206,30.99267332777444
"MULTILINESTRING ((-78.890423177176 42.891054480922, -78.89195612861 42.892563453632))",9194,477792146,,,,,Interstate 190 Northbound,190,06,A15,1,65,14201,14201,209.41322069032739
"MULTILINESTRING ((-78.883659202878 42.893991451772, -78.885120165224 42.89556049609))",7908,477791206,184,254,185,255,Prospect Avenue,,12,A40,4,25,14201,14201,211.41762201803067
"MULTILINESTRING ((-78.86683221754 42.893089515738, -78.867213180298 42.892917442331, -78.867317188151 42.89285945109))",7067,477791573,,,,,Ramp,,01,A63,2,45,14203,14203,47.22137658789574
"MULTILINESTRING ((-78.870148128093 42.929619465088, -78.870392130219 42.929272483909, -78.870510162734 42.929132441209, -78.87052318004 42.929068434274, -78.870515190143 42.929005498832))",4783,477781428,2,14,1,23,Rumsey Lane,,12,A41,5,25,14209,14209,75.963042623636483
"MULTILINESTRING ((-78.887721212115 42.896557461927, -78.889206128695 42.898144455656))",9107,477790390,462,524,461,523,Niagara Street,266,01,A31,3,35,14201,14201,214.1688747236025
"MULTILINESTRING ((-78.828067105375 42.95664849889, -78.828686157187 42.957207513042))",3718,477774102,104,128,105,131,Montrose Avenue,,12,A41,5,25,14214,14214,80.115547804909596
"MULTILINESTRING ((-78.819513184142 42.926986454779, -78.820929178359 42.929589472942))",1491,477782029,300,370,301,391,William L Gaiter Parkway,,12,A41,5,25,14215,14215,311.66916113028839
"MULTILINESTRING ((-78.887911144852 42.92018249288, -78.887743144639 42.921621505606, -78.887674109764 42.92208745395))",8603,477784042,176,240,177,239,Parkdale Avenue,,12,A40,5,25,14213,14213,212.69597449656013
"MULTILINESTRING ((-78.821237100567 42.859395505672, -78.82017115293 42.858698489303))",11145,477799526,130,162,131,163,North Legion Drive,,12,A41,5,25,14210,14210,116.64773165394681
"MULTILINESTRING ((-78.845002108086 42.843354483868, -78.844742121799 42.843510439248))",11566,477801329,,,,,Tifft Street,,12,A41,4,25,14218,14218,27.442377812141732
"MULTILINESTRING ((-78.880924162014 42.926013481936, -78.879558158767 42.926028520861))",4977,477782282,490,528,491,529,Bird Avenue,,12,A40,5,25,14222,14222,111.6242594599923
"MULTILINESTRING ((-78.801789098316 42.853648461129, -78.801564119323 42.853418511282, -78.800986082417 42.852907494838))",523,477800267,2,34,1,31,Junior Avenue,,12,A41,5,25,14210,14210,105.41509000653647
"MULTILINESTRING ((-78.883460105651 42.902853463897, -78.883782211315 42.903190514012))",7958,477788613,50,98,51,63,14th Street,,12,A40,5,25,14213,14213,45.79855237836987
"MULTILINESTRING ((-78.869114116247 42.890223486527, -78.868621192795 42.891875427943, -78.868286210653 42.892850433917))",7326,477792349,300,410,301,409,North Oak Street,954D,01,A30,4,35,14203,14203,299.84513596728505
"MULTILINESTRING ((-78.90104914516 42.906087512949, -78.901125193793 42.9059224908, -78.90117213702 42.905715514299, -78.901208155921 42.905595436169))",8874,477787847,,,,,Ramp,,01,A63,5,45,14201,14201,56.374282654120847
"MULTILINESTRING ((-78.82215914397 42.868918432485, -78.822351170368 42.868656484726))",11082,477797869,,,,,Bailey Avenue,62,01,A21,3,35,14210,14210,33.087225631563207
"MULTILINESTRING ((-78.844900168454 42.880736478342, -78.844068123009 42.880596449407))",10862,477794741,76,100,77,99,Fritz Alley,,12,A41,5,25,14210,14210,69.790816731182915
"MULTILINESTRING ((-78.878291138334 42.874399428044, -78.878219187223 42.874663427773))",9853,477796469,,,,,State Route 5,5,01,A15,2,65,14203,14202,29.93618880199864
"MULTILINESTRING ((-78.838376164964 42.956079473103, -78.838346117932 42.956898468621))",3780,477774291,18,38,17,39,North Parker Avenue,,12,A41,5,25,14216,14216,91.090145460973702
"MULTILINESTRING ((-78.843467187106 42.922098451709, -78.843434125133 42.922299446181, -78.843406176268 42.922405459448, -78.843367115489 42.922545520275))",5722,477783475,,,,,State Route 33,33,01,A15,2,65,14214,14214,50.411255703643107
"MULTILINESTRING ((-78.801077178578 42.865862490203, -78.801071088955 42.866002431824))",563,477798584,2,42,1,43,South Pontiac Street,,12,A41,5,25,14206,14206,15.566322622452988
"MULTILINESTRING ((-78.845535180706 42.864775472956, -78.845430163587 42.864712467496))",10543,477798756,,,,,South Park Avenue,,12,A31,4,35,14210,14210,11.083307267923166
"MULTILINESTRING ((-78.902141713653 42.899104693275, -78.902136932154 42.899104577566, -78.902132243388 42.899103633315, -78.902127789823 42.899101889214, -78.902123706778 42.899099398256, -78.902120118313 42.899096236128, -78.902117133463 42.89909249891, -78.902114842921 42.899088300155, -78.902113316283 42.89908376744, -78.902112599936 42.899079038489, -78.902112715646 42.899074256989, -78.902113659897 42.899069568223, -78.902115403998 42.899065114658, -78.902117894956 42.899061031613, -78.902121057084 42.899057443148, -78.902124794302 42.899054458298, -78.902128993057 42.899052167756, -78.902133525772 42.899050641118, -78.902138254723 42.899049924772, -78.902143036223 42.899050040482, -78.902147724989 42.899050984732, -78.902152178554 42.899052728833, -78.902156261599 42.899055219791, -78.902159850064 42.899058381919, -78.902162834914 42.899062119137, -78.902165125456 42.899066317892, -78.902166652094 42.899070850608, -78.90216736844 42.899075579559, -78.90216725273 42.899080361058, -78.90216630848 42.899085049824, -78.902164564379 42.899089503389, -78.902162073421 42.899093586434, -78.902158911293 42.899097174899, -78.902155174075 42.899100159749, -78.90215097532 42.899102450291, -78.902146442604 42.899103976929, -78.902141713653 42.899104693275))",12002,,,,,,,,,,,,,,19.151148818904929
"MULTILINESTRING ((-78.801620082068 42.909792486926, -78.801618088277 42.909885472162, -78.801576178194 42.911441457122))",1224,477786839,126,298,125,299,Stewart Avenue,,12,A41,5,25,14211,14211,183.36468157065531
"MULTILINESTRING ((-78.80778914823 42.838950467825, -78.807714086692 42.83895143701, -78.807407071061 42.838990473545, -78.80723812053 42.839020499989, -78.806931155127 42.839036483766, -78.805712082587 42.839026466717, -78.805030173908 42.839011436586))",191,477801998,2,72,1,73,Shenandoah Road,,12,A41,5,25,14220,14220,226.59867597683851
"MULTILINESTRING ((-78.820793111597 42.957229524471, -78.820847165861 42.957320455813, -78.820969084359 42.95760846075, -78.821013141801 42.957771485808, -78.821017147686 42.958075497396))",2457,477773946,34,70,,,Capen Boulevard,,12,A45,5,25,14214,14214,96.844466472664095
"MULTILINESTRING ((-78.82988017017 42.884911498545, -78.828537131379 42.884895439235, -78.827982183039 42.88489646574))",6550,477793548,1114,1156,1115,1157,William Street,,12,A31,4,35,14206,14206,155.19141356487316
"MULTILINESTRING ((-78.798035083809 42.845954486227, -78.797522113088 42.845762456549))",118,477801025,2534,2558,2537,2549,Seneca Street,16,01,A31,4,35,14224,14224,47.083861354269665
"MULTILINESTRING ((-78.90160022318 42.952058507768, -78.901442194914 42.951949465694, -78.901245134377 42.951841485602, -78.899955184427 42.951205462263, -78.899428151189 42.950928484565))",2681,477775443,2,68,1,73,Albert Avenue,,12,A40,5,25,14207,14207,217.60265705582111
"MULTILINESTRING ((-78.878569169945 42.94224550105, -78.87851610505 42.942245500989))",3270,477777528,398,398,399,399,Grote Street,,12,A41,5,25,14207,14207,4.334616476730923
"MULTILINESTRING ((-78.858971118506 42.951499457526, -78.858940207264 42.954198457284, -78.858925175993 42.954612504259))",3444,477775307,390,510,389,507,Colvin Avenue,,12,A31,4,35,14216,14216,346.14428761466593
"MULTILINESTRING ((-78.875442195188 42.879045456625, -78.875003185371 42.880436470608))",10072,477795180,178,236,177,235,Washington Street,,12,A31,4,35,14203,14203,158.76821470292109
"MULTILINESTRING ((-78.81159614894 42.92080250441, -78.810621154809 42.920809440055))",1555,477783852,150,198,151,199,Wecker Street,,12,A41,5,25,14215,14215,79.67063448977737
"MULTILINESTRING ((-78.844679091266 42.925297507412, -78.844925101223 42.925293464369, -78.845060102305 42.925279469333, -78.845169106272 42.92524149838, -78.845313104473 42.925163454011, -78.845674207485 42.924906494461))",5629,477782636,136,198,135,199,Gillette Avenue,,12,A41,5,25,14214,14214,96.789919181141443
"MULTILINESTRING ((-78.823396099074 42.93401947746, -78.82359418795 42.934388487229, -78.823701133447 42.934704452297, -78.82374011434 42.934987486223, -78.823738151392 42.936045490514, -78.823724160294 42.936543504791, -78.823720110397 42.937506499334, -78.823686123153 42.937709499924, -78.823656194572 42.937756510149))",2010,477779526,2,298,1,299,Clyde Avenue,,12,A41,5,25,14215,14215,420.5167208105816
"MULTILINESTRING ((-78.879064174677 42.923244505065, -78.879444222741 42.923250514701, -78.879913135232 42.9232454934))",5019,477783088,,,21,45,Dorchester Road,,12,A45,5,25,14222,14222,69.380179300352694
"MULTILINESTRING ((-78.86495911834 42.921361445109, -78.864762169915 42.921990440975, -78.864707176731 42.922272495895))",5134,477783690,700,798,699,799,Linwood Avenue,,12,A40,4,25,14209,14209,103.44121151385352
"MULTILINESTRING ((-78.860105105718 42.919542489468, -78.859454197999 42.920153491982))",5239,477784213,1740,1762,1741,1759,Main Street,5,01,A21,3,35,14209,14208,86.277684832117814
"MULTILINESTRING ((-78.906818196275 42.940289491518, -78.90648011678 42.940423496928))",2854,477777985,,,,,Hertel Avenue,,12,A41,4,25,14207,14207,31.380223071389963
"MULTILINESTRING ((-78.814064150137 42.895951458875, -78.814001171282 42.896885450767))",1047,477790529,1528,1562,1527,1563,Bailey Avenue,62,01,A21,3,35,14212,14212,103.96765121901879
"MULTILINESTRING ((-78.83237815694 42.908263492452, -78.831357120349 42.908259452813, -78.830166129204 42.90824048009))",6019,477787235,178,214,179,235,Fougeron Street,,12,A41,5,25,14211,14211,180.80820147350119
"MULTILINESTRING ((-78.820677094724 42.851328444156, -78.820547147848 42.851342510792, -78.82046510973 42.851373434162, -78.820332195035 42.851452427156, -78.818751141337 42.85261649771, -78.818509119046 42.852801506211))",11370,477800437,78,198,91,199,Hubbell Avenue,,12,A41,5,25,14220,14220,243.7756102288989
"MULTILINESTRING ((-78.848012197433 42.918490448934, -78.848003141309 42.919245446371))",5520,477784651,542,598,541,599,Wohlers Avenue,,12,A40,5,25,14208,14208,83.945034396880502
"MULTILINESTRING ((-78.887391198887 42.934045514193, -78.887375121579 42.934175443955, -78.887336126827 42.934476502871))",3162,511383798,192,198,193,199,Rees Street,,12,A41,5,25,14213,14213,48.130119113369688
"MULTILINESTRING ((-78.842038107681 42.892406498236, -78.84120510401 42.892588455919))",6803,477791743,874,898,879,905,Broadway,954L,01,A31,3,35,14212,14212,71.038809815458563
"MULTILINESTRING ((-78.877645372929 42.867254567236, -78.877556254611 42.867123398139))",9754,800002524,,,,,Fuhrmann Boulevard,,12,A45,4,25,14203,14203,16.303622205007493
"MULTILINESTRING ((-78.865964105347 42.955947489932, -78.865552159072 42.955932521115, -78.864483143563 42.955932476015, -78.864462143549 42.955947501907, -78.864455188385 42.955969525985))",3462,477774357,,,,,Unnamed Street,,12,A41,5,25,14216,14216,125.8938311912672
"MULTILINESTRING ((-78.856954213913 42.943923486396, -78.856980198067 42.943976451709))",4565,477777129,,,,,Colvin Avenue,,12,A31,4,35,14216,14216,6.259624588912803
"MULTILINESTRING ((-78.890489150425 42.916042481731, -78.888235160743 42.916077489494))",8627,477785214,2,56,1,57,Arnold Street,,12,A40,5,25,14213,14213,184.23818632404888
"MULTILINESTRING ((-78.851938099798 42.893118494056, -78.850928099154 42.893122450033))",6826,477791488,50,98,53,99,Beckwith Street,,12,A41,5,25,14212,14212,82.567582016182385
"MULTILINESTRING ((-78.898436172554 42.954569460995, -78.897900127792 42.955133455567))",2697,477774644,2,14,1,13,West Lane,,12,A71,5,5,14207,14207,76.477851041520836
"MULTILINESTRING ((-78.895357225518 42.930118452672, -78.895465135186 42.929964503582))",9391,477781069,,,,,Ramp,,01,A63,3,45,14213,14213,19.253989197390538
"MULTILINESTRING ((-78.802379105908 42.892418489937, -78.801252102968 42.892417433525))",893,477791736,190,222,189,221,Vanderbilt Street,,12,A41,5,25,14206,14206,92.129470312161246
"MULTILINESTRING ((-78.829154139279 42.927244462769, -78.827951156662 42.927245498679))",5849,477781948,2,26,1,29,Sussex Street,,12,A41,5,25,14215,14215,98.286752413496458
"MULTILINESTRING ((-78.872422150144 42.934867504463, -78.872486220182 42.934855519776, -78.872525185691 42.934814493327, -78.872525166312 42.93476146221, -78.872480199105 42.934722469058, -78.872426208096 42.934711512993, -78.872403171073 42.934713463947))",4848,477779313,,,,,Walkway,,12,A71,5,5,14216,14216,29.012584445777691
"MULTILINESTRING ((-78.837176189724 42.895977451708, -78.836627206059 42.895981471945))",6315,477790519,,,,,Beck Street,,12,A41,5,25,14212,14212,44.878530501752387
"MULTILINESTRING ((-78.88273810844 42.892126467259, -78.882174172331 42.892406458546))",7894,477791850,180,196,179,195,Carolina Street,,12,A30,4,35,14201,14201,55.628778523206911
"MULTILINESTRING ((-78.84704915859 42.895196514131, -78.846300187602 42.895426462286, -78.845808124327 42.895587437704))",6820,477790831,656,690,647,685,Sycamore Street,,12,A31,4,35,14211,14212,110.37451796569258
"MULTILINESTRING ((-78.840280155583 42.950047501207, -78.84018615754 42.950061463795))",4008,477775640,894,898,893,893,Tacoma Avenue,,12,A41,5,25,14216,14216,7.832470874526305
"MULTILINESTRING ((-78.818183184443 42.872028484902, -78.817874151706 42.872027460807, -78.817778116938 42.8720264361))",731,477797004,1584,1598,1587,1599,Clinton Street,354,01,A31,3,35,14206,14206,33.125505884799736
"MULTILINESTRING ((-78.823844077524 42.835567454145, -78.823010143776 42.835564458653, -78.822288142977 42.835545469879, -78.820194092947 42.835524428286, -78.817378164777 42.83546847748, -78.815141168046 42.835454456617))",11774,477802455,2,298,1,299,Cantwell Drive,,12,A41,5,25,14220,14220,712.24724240759031
"MULTILINESTRING ((-78.864258205268 42.882469485307, -78.861838148577 42.88203751132))",7261,800011143,,,,,East Eagle Street,,03,A41,5,25,14204,14204,203.61840584791187
"MULTILINESTRING ((-78.81736014243 42.941652446918, -78.817379194847 42.942154488998, -78.817413161776 42.942396455366))",2097,477777632,186,210,187,213,Comstock Avenue,,12,A30,4,35,14215,14215,82.883054593135341
"MULTILINESTRING ((-78.82366008133 42.852252451772, -78.823651145285 42.852965491901))",11361,477800337,126,154,131,153,Southside Parkway,,12,A31,4,35,14220,14220,79.278335628488236
"MULTILINESTRING ((-78.874280192762 42.882598463956, -78.874111210338 42.882539453948, -78.87392314213 42.882488473536, -78.87310409785 42.882338492527))",7472,477794242,24,48,23,49,South Division Street,5,01,A20,2,35,14203,14203,100.69728236313435
"MULTILINESTRING ((-78.836545090701 42.940242464714, -78.834846128906 42.940223485909))",4113,477778002,46,78,37,65,East Amherst Street,,12,A31,4,35,14214,14214,138.79684866745799
"MULTILINESTRING ((-78.868378156762 42.904027435485, -78.868170161999 42.904625478666))",8244,477788149,1114,1136,1119,1129,Main Street,5,01,A21,3,35,14209,14209,68.630978427802404
"MULTILINESTRING ((-78.905847188087 42.953645484833, -78.905516179793 42.953737468996, -78.905008188126 42.95386647185, -78.903844152705 42.954196515029))",2755,477774816,104,152,101,149,Crowley Avenue,,12,A40,5,25,14207,14207,174.70598535650402
"MULTILINESTRING ((-78.862340150764 42.894230439757, -78.861850156 42.894435442604))",7023,477791152,42,80,43,81,Bfnc Drive,,12,A40,4,25,14204,14204,46.086749723007138
"MULTILINESTRING ((-78.863893154897 42.929088480439, -78.864023152936 42.929288479105, -78.864163156801 42.929438483908, -78.864593161502 42.929628474466, -78.864723155953 42.929768480727, -78.864913163119 42.930088476582))",4745,600058529,,,,,Unnamed Street,,14,A70,6,15,14209,14209,143.52147340313155
"MULTILINESTRING ((-78.891080178232 42.901891499831, -78.889796164687 42.902550514285))",9063,477788926,300,340,301,341,Porter Avenue,,12,A31,4,35,14201,14201,128.00034570256287
"MULTILINESTRING ((-78.843171195374 42.916331518949, -78.841898156496 42.916319479895))",5470,477785134,2,32,1,29,Sidney Street,,12,A40,5,25,14211,14211,104.03839531643817
"MULTILINESTRING ((-78.831797779861 42.92389960013, -78.831805473336 42.924388920423, -78.831836580818 42.924416365459, -78.831887155008 42.924434316244, -78.831953143595 42.92443847876))",5810,600033211,,,,,Parking Lot,,10,A75,6,15,14215,14215,68.378222766682953
"MULTILINESTRING ((-78.859602151708 42.91018650661, -78.859592185094 42.91054645201, -78.85958317491 42.911180438554))",5345,477786752,290,324,289,321,Masten Avenue,,12,A41,4,25,14209,14208,110.51969767013139
"MULTILINESTRING ((-78.863724194645 42.867951423462, -78.863275138845 42.869349487071))",10483,477798113,118,198,119,199,Tennessee Street,,12,A41,5,25,14204,14204,159.71875437765516
